stars	delivery	takeout	Outdoor seating	hours	cost	location	cuisine
5	0	0	0	22	2	5	2
3.5	0	0	0	18	2	5	14
4	0	0	0	18	2	5	14
4	0	0	0	18	2	5	2
4	0	0	0	18	2	5	63
4	0	0	0	23	2	5	20
4.5	0	0	0	18	2	5	18
4	0	0	0	18	2	5	72
4	0	0	0	22	3	5	126
4	0	0	0	22	3	5	193
4.5	0	0	0	21	1	5	18
4	0	0	0	0	2	5	14
4.5	0	0	0	6	2	5	18
3.5	0	0	0	21	2	5	91
4	0	0	0	23	2	5	6
4	0	0	0	2	2	5	14
4	0	0	0	21	2	5	152
4	0	0	0	21.5	2	5	18
3.5	0	0	0	0	2	5	3
4	0	0	0	22.5	2	5	2
4.5	0	0	0	22	2	5	46
3.5	0	0	0	21	2	5	93
4.5	0	0	0	22	1	5	38
4	0	0	0	21	2	2	91
3.5	0	0	0	22	2	5	14
3	0	0	0	21	1	5	14
4	0	0	0	21	2	2	56
4.5	0	0	0	18	2	5	29
4.5	0	0	0	18	2	5	14
3.5	0	0	0	22	2	5	18
4	0	0	0	22	2	5	177
3.5	0	0	0	18	1	5	6
4	0	0	0	18	2	5	6
4	0	0	0	22	2	5	14
3.5	0	0	0	21	2	5	18
4.5	0	0	0	18	2	5	2
3.5	0	0	0	18	2	5	2
4	0	0	0	18	2	5	4
